"SNR","outMy","outGt","outEp"
0,0.0528,0.0508,0.0428
0,0.0532,0.0504,0.0416
0,0.0532,0.052,0.0432
0,0.046,0.0512,0.0428
0,0.0488,0.0456,0.0396
0,0.0516,0.0512,0.0368
0,0.058,0.052,0.0496
0,0.0584,0.0496,0.046
0,0.0512,0.048,0.044
0,0.0532,0.0556,0.0448
0,0.0604,0.0452,0.0504
0,0.0496,0.0392,0.0416
0,0.0592,0.0524,0.04
0,0.0572,0.0564,0.0384
0,0.0524,0.048,0.0396
0,0.0536,0.0512,0.0448
0,0.0552,0.0556,0.0436
0,0.0564,0.0504,0.0424
0,0.0504,0.046,0.042
0,0.0568,0.048,0.0404
0,0.054,0.0516,0.0408
0,0.056,0.0488,0.0504
0,0.0556,0.0572,0.0456
0,0.052,0.046,0.0404
0,0.0596,0.0516,0.0468
0,0.05,0.0484,0.0444
0,0.0612,0.0536,0.0416
0,0.054,0.0464,0.0404
0,0.0504,0.0508,0.0416
0,0.0532,0.0488,0.0408
0,0.0548,0.0516,0.0404
0,0.0544,0.052,0.0472
0,0.0516,0.0468,0.0364
0,0.0508,0.0508,0.0468
0,0.0512,0.0432,0.04
0,0.0564,0.0568,0.0424
0,0.0492,0.048,0.0356
0,0.058,0.0576,0.0424
0,0.058,0.0556,0.0428
0,0.05,0.0456,0.0372
0,0.0512,0.0512,0.0404
0,0.0564,0.05,0.0428
0,0.0544,0.0512,0.042
0,0.0544,0.0468,0.0384
0,0.0564,0.0464,0.0428
0,0.0424,0.0492,0.0324
0,0.052,0.052,0.0444
0,0.0604,0.0548,0.0444
0,0.0516,0.0536,0.0388
0,0.0588,0.05,0.0452
0,0.0428,0.0496,0.0416
0,0.056,0.054,0.0488
0,0.0488,0.048,0.0356
0,0.0504,0.0504,0.0388
0,0.0448,0.04,0.036
0,0.0496,0.0532,0.0432
0,0.0548,0.0504,0.0444
0,0.0544,0.0452,0.0456
0,0.0544,0.0544,0.0412
0,0.0452,0.044,0.038
0,0.0544,0.0496,0.0396
0,0.05,0.0496,0.042
0,0.0556,0.0584,0.04
