"SNR","outMy","outGt","outEp","outLassoTest"
0,0.046,0.053,0.0313333333333333,0.0466666666666667
0,0.052,0.053,0.0273333333333333,0.0493333333333333
0,0.044,0.055,0.0263333333333333,0.0433333333333333
0,0.0416666666666667,0.0533333333333333,0.0286666666666667,0.051
0,0.0386666666666667,0.049,0.0263333333333333,0.0536666666666667
0,0.044,0.048,0.0233333333333333,0.0493333333333333
0,0.0386666666666667,0.0463333333333333,0.0246666666666667,0.0466666666666667
0,0.052,0.055,0.0326666666666667,0.046
0,0.0383333333333333,0.05,0.0263333333333333,0.0463333333333333
0,0.0476666666666667,0.054,0.0283333333333333,0.0486666666666667
0,0.0433333333333333,0.052,0.0306666666666667,0.045
0,0.037,0.044,0.0233333333333333,0.0446666666666667
0,0.0436666666666667,0.0513333333333333,0.027,0.0473333333333333
0,0.0493333333333333,0.0613333333333333,0.026,0.0483333333333333
0,0.049,0.0586666666666667,0.0286666666666667,0.0393333333333333
0,0.0516666666666667,0.056,0.031,0.046
0,0.046,0.051,0.0266666666666667,0.047
0,0.043,0.0526666666666667,0.0273333333333333,0.0463333333333333
0,0.0433333333333333,0.048,0.0276666666666667,0.0483333333333333
0,0.0413333333333333,0.0513333333333333,0.0256666666666667,0.046
0,0.0383333333333333,0.045,0.025,0.0453333333333333
0,0.0406666666666667,0.0476666666666667,0.022,0.0476666666666667
0,0.039,0.0553333333333333,0.027,0.0393333333333333
0,0.0353333333333333,0.043,0.0236666666666667,0.0463333333333333
0,0.0393333333333333,0.05,0.028,0.0446666666666667
0,0.0416666666666667,0.0496666666666667,0.0256666666666667,0.0463333333333333
0,0.0413333333333333,0.0476666666666667,0.023,0.048
0,0.042,0.0473333333333333,0.0313333333333333,0.0483333333333333
0,0.0433333333333333,0.056,0.025,0.0443333333333333
0,0.039,0.0486666666666667,0.0296666666666667,0.043
0,0.0426666666666667,0.0493333333333333,0.0233333333333333,0.0493333333333333
0,0.041,0.0526666666666667,0.0263333333333333,0.0493333333333333
0,0.0413333333333333,0.0483333333333333,0.0286666666666667,0.0456666666666667
0,0.0493333333333333,0.0583333333333333,0.0263333333333333,0.0503333333333333
